image,id,name,xMin,xMax,yMin,yMax
﻿red0031.jpg,800,600,red,367,237,389,290
red0025.jpg,800,600,red,108,199,157,314
red0019.jpg,800,600,red,294,218,319,285
red0018.jpg,800,600,red,306,224,331,289
red0024.jpg,800,600,red,371,240,391,289
red0030.jpg,800,600,red,335,223,362,290
red0026.jpg,800,600,red,307,224,333,290
red0032.jpg,800,600,red,262,215,297,301
red0033.jpg,800,600,red,292,217,321,286
red0027.jpg,800,600,red,80,194,131,316
red0023.jpg,800,600,red,4,180,51,322
red0037.jpg,800,600,red,375,240,393,287
red0036.jpg,800,600,red,227,215,264,302
red0022.jpg,800,600,red,321,221,351,291
red0008.jpg,800,600,red,354,234,379,291
red0034.jpg,800,600,red,373,240,394,287
red0020.jpg,800,600,red,159,206,203,313
red0021.jpg,800,600,red,372,240,390,289
red0035.jpg,800,600,red,164,210,206,313
red0009.jpg,800,600,red,266,215,302,301
red0091.jpg,800,600,red,312,221,345,297
red0085.jpg,800,600,red,3,176,43,324
red0052.jpg,800,600,red,371,241,394,290
red0046.jpg,800,600,red,303,223,329,289
red0047.jpg,800,600,red,332,223,361,290
red0053.jpg,800,600,red,347,232,372,291
red0084.jpg,800,600,red,12,183,68,322
red0090.jpg,800,600,red,344,231,366,291
red0086.jpg,800,600,red,374,240,394,287
red0092.jpg,800,600,red,241,216,274,300
red0045.jpg,800,600,red,146,206,192,315
red0051.jpg,800,600,red,50,189,105,318
red0079.jpg,800,600,red,322,220,352,291
red0078.jpg,800,600,red,371,239,391,289
red0050.jpg,800,600,red,284,216,320,301
red0044.jpg,800,600,red,2,175,26,325
red0093.jpg,800,600,red,29,187,89,319
red0087.jpg,800,600,red,371,240,394,289
red0083.jpg,800,600,red,371,239,390,289
red0097.jpg,800,600,red,198,211,238,308
red0068.jpg,800,600,red,229,211,265,304
red0040.jpg,800,600,red,374,241,394,288
red0054.jpg,800,600,red,338,227,366,292
red0055.jpg,800,600,red,365,239,386,291
red0041.jpg,800,600,red,336,225,363,291
red0069.jpg,800,600,red,373,240,394,289
red0096.jpg,800,600,red,372,241,394,288
red0082.jpg,800,600,red,320,221,347,292
red0094.jpg,800,600,red,241,212,277,303
red0080.jpg,800,600,red,373,240,392,289
red0057.jpg,800,600,red,55,190,112,316
red0043.jpg,800,600,red,372,241,393,290
red0042.jpg,800,600,red,354,236,379,291
red0056.jpg,800,600,red,212,212,251,305
red0081.jpg,800,600,red,374,241,395,288
red0095.jpg,800,600,red,370,239,392,288
red0098.jpg,800,600,red,370,240,392,291
red0073.jpg,800,600,red,373,241,393,289
red0067.jpg,800,600,red,232,211,269,302
red0066.jpg,800,600,red,373,241,394,288
red0072.jpg,800,600,red,311,222,343,298
red0099.jpg,800,600,red,278,216,311,301
red0064.jpg,800,600,red,362,238,383,291
red0070.jpg,800,600,red,372,241,394,288
red0058.jpg,800,600,red,310,222,340,299
red0059.jpg,800,600,red,301,223,334,299
red0071.jpg,800,600,red,362,238,386,293
red0065.jpg,800,600,red,372,240,393,288
red0049.jpg,800,600,red,273,219,305,295
red0061.jpg,800,600,red,368,238,389,290
red0075.jpg,800,600,red,361,238,384,293
red0074.jpg,800,600,red,371,240,392,290
red0060.jpg,800,600,red,371,240,395,289
red0048.jpg,800,600,red,373,241,395,288
red0089.jpg,800,600,red,297,220,330,299
red0076.jpg,800,600,red,71,192,126,316
red0062.jpg,800,600,red,357,235,381,292
red0063.jpg,800,600,red,249,220,284,300
red0077.jpg,800,600,red,373,240,394,287
red0088.jpg,800,600,red,369,238,391,290
red0010.jpg,800,600,red,357,236,382,291
red0004.jpg,800,600,red,5,181,69,320
red0038.jpg,800,600,red,368,240,391,290
red0039.jpg,800,600,red,365,240,388,291
red0005.jpg,800,600,red,366,237,390,290
red0011.jpg,800,600,red,374,242,393,288
red0007.jpg,800,600,red,373,241,393,289
red0013.jpg,800,600,red,372,241,395,288
red0012.jpg,800,600,red,53,190,109,318
red0006.jpg,800,600,red,280,217,312,291
red0002.jpg,800,600,red,372,240,395,289
red0016.jpg,800,600,red,4,173,31,325
red0017.jpg,800,600,red,372,242,394,290
red0003.jpg,800,600,red,364,238,388,291
red0029.jpg,800,600,red,349,233,375,291
red0015.jpg,800,600,red,258,222,291,301
red0001.jpg,800,600,red,374,241,395,289
red0000.jpg,800,600,red,242,216,281,302
red0014.jpg,800,600,red,3,173,29,324
red0028.jpg,800,600,red,304,221,337,300
